Location,Vehicle Count,Azuga Compliance,Derive Compliance,MPG AVG,WoW Change,Idle %,PPG AVG,Weekend (Miles),Off-Hour (Miles),Fuel Spend $,Eval @ Home %,,
North Central,68,78%,70%, 21.33 ,?0.8%,19%, $4.40 ," 1,096.61 ", 718.30 ," $18,363.01 ",46%,,21.16908712
Pac.N.West,54,80%,50%, 21.28 , ?1.7%,20%, $5.22 , 631.55 , 614.85 ," $14,178.92 ",57%,,21.63841988
New England,106,93%,63%, 20.61 ,?1.0%,23%, $4.71 ," 5,865.61 "," 1,316.34 "," $34,832.90 ",32%,,20.39734146
Big 10,72,85%,50%, 20.50 ,?2.6%,20%, $4.61 ," 2,450.82 ", 728.57 ," $21,108.43 ",36%,,19.9837902
Gulf Coast,65,92%,67%, 20.43 ,?1.3%,26%, $4.19 ," 1,583.61 "," 1,146.14 "," $20,303.44 ",51%,,20.17423117
Mid-Central,73,75%,32%, 20.16 ,?0.2%,24%, $4.83 ," 1,971.01 ", 927.80 ," $23,198.29 ",38%,,20.12930423
SEC,73,92%,28%, 19.91 ,?0.1%,26%, $4.28 ," 2,802.71 ", 851.07 ," $21,408.30 ",50%,,19.89182573
SC Texas,63,79%,68%, 19.88 ,?3.8%,24%, $3.99 , 983.58 , 367.72 ," $15,049.34 ",46%,,19.15069702
Big East,80,70%,18%, 19.83 , ?1.8%,22%, $4.72 ," 1,511.88 ", 480.78 ," $25,338.74 ",41%,,20.19449947
Mid-Atlantic,73,100%,84%, 19.72 , ?0.8%,21%, $4.48 ," 1,907.85 ", 420.04 ," $22,986.83 ",56%,,19.88679376
North Pacific,45,87%,56%, 19.68 ,?2.1%,21%, $6.05 , 945.41 ," 1,487.23 "," $19,646.50 ",48%,,19.26763162
ACC,63,90%,67%, 19.61 , ?1.1%,21%, $4.27 , 350.58 , 488.05 ," $20,903.23 ",45%,,19.82135546
South West,47,60%,57%, 19.52 ,?3.5%,24%, $4.69 , 707.60 , 75.49 ," $15,053.53 ",62%,,18.86526399
South Pacific,43,88%,93%, 18.71 ,?2.2%,28%, $6.11 , 779.98 , 446.72 ," $19,467.11 ",58%,,18.30518231
Grand Total,925,84%,57%, 20.13 ,?0.7%,23%, $4.68 ," 23,588.80 "," 10,069.10 "," $291,838.57 ",46%,,19.98671142
