Region,All,,,,,,,,,
,,,,,,,,,,
Location,Vehicle Count,Azuga Compliance,Derive Compliance,MPG AVG,Idle %,PPG AVG,Weekend (Miles),Off-Hour (Miles),Fuel Spend $,Eval @ Home %
ACC,63,90%,67%, 19.61 ,21%, $4.27 , 350.58 , 488.05 ," $20,903.23 ",45%
Big 10,72,85%,50%, 20.50 ,20%, $4.61 ," 2,450.82 ", 728.57 ," $21,108.43 ",36%
Big East,80,70%,18%, 19.83 ,22%, $4.72 ," 1,511.88 ", 480.78 ," $25,338.74 ",41%
Gulf Coast,65,92%,67%, 20.43 ,26%, $4.19 ," 1,583.61 "," 1,146.14 "," $20,303.44 ",51%
Mid-Atlantic,73,100%,84%, 19.72 ,21%, $4.48 ," 1,907.85 ", 420.04 ," $22,986.83 ",56%
Mid-Central,73,75%,32%, 20.16 ,24%, $4.83 ," 1,971.01 ", 927.80 ," $23,198.29 ",38%
New England,106,93%,63%, 20.61 ,23%, $4.71 ," 5,865.61 "," 1,316.34 "," $34,832.90 ",32%
North Central,68,78%,70%, 21.33 ,19%, $4.40 ," 1,096.61 ", 718.30 ," $18,363.01 ",46%
North Pacific,45,87%,56%, 19.68 ,21%, $6.05 , 945.41 ," 1,487.23 "," $19,646.50 ",48%
Pac.N.West,54,80%,50%, 21.28 ,20%, $5.22 , 631.55 , 614.85 ," $14,178.92 ",57%
SC Texas,63,79%,68%, 19.88 ,24%, $3.99 , 983.58 , 367.72 ," $15,049.34 ",46%
SEC,73,92%,28%, 19.91 ,26%, $4.28 ," 2,802.71 ", 851.07 ," $21,408.30 ",50%
South Pacific,43,88%,93%, 18.71 ,28%, $6.11 , 779.98 , 446.72 ," $19,467.11 ",58%
South West,47,60%,57%, 19.52 ,24%, $4.69 , 707.60 , 75.49 ," $15,053.53 ",62%
Grand Total,925,84%,57%, 20.13 ,23%, $4.68 ," 23,588.80 "," 10,069.10 "," $291,838.57 ",46%
